time,x,y,p_value
5.666666666666667,903,286,0.0025777353439480066
6.133333333333334,1190,597,0.01686648093163967
7.833333333333333,1138,704,1.59889133044544e-08
7.833333333333333,1139,704,7.2061541410099854e-34
7.833333333333333,1138,705,0.055737435817718506
7.833333333333333,1139,705,2.4229115069829277e-07
7.933333333333334,338,443,3.871194209636997e-08
7.933333333333334,338,444,7.274446147675917e-07
9.233333333333333,323,440,5.401165381613282e-08
12.166666666666666,163,651,0.20365998148918152
13.966666666666667,477,22,0.020033275708556175
16.7,726,469,3.690868197736563e-07
17.333333333333332,393,647,0.0010990960290655494
17.333333333333332,394,647,1.7285672981870448e-07
17.333333333333332,395,647,0.007793520577251911
17.833333333333332,703,393,7.254071192619449e-07
18.433333333333334,649,173,0.007004993502050638
19.333333333333332,393,645,1.580273476520233e-07
19.333333333333332,394,645,5.813996234661385e-32
23.2,1097,163,8.893912308849394e-05
23.2,1098,163,9.633901485003103e-32
23.2,1097,164,1.0975600157582505e-31
23.2,1098,164,4.05258404612141e-08
23.366666666666667,569,325,0.043437402695417404
24.766666666666666,1257,683,0.016995370388031006
27.3,1218,121,0.04854306951165199
28.233333333333334,1138,200,0.06993792951107025
28.366666666666667,396,646,1.521569537032974e-08
28.366666666666667,396,647,1.5784502593874095e-08
28.4,395,646,2.4440603851871856e-07
28.4,396,646,2.3883897637411167e-10
28.4,395,647,4.053338216181146e-06
28.4,396,647,2.9700787607112034e-08
28.433333333333334,395,647,0.0019055960001423955
28.433333333333334,396,647,3.0030822273374724e-09
28.533333333333335,96,131,0.11158699542284012
29.033333333333335,252,251,0.0005464801797643304
29.033333333333335,253,251,0.07866394519805908
29.033333333333335,254,251,0.0007444189395755529
29.033333333333335,252,252,4.203634773602971e-07
29.033333333333335,253,252,5.304704941977434e-08
29.033333333333335,254,252,2.2483650496951668e-08
29.033333333333335,251,253,0.06416773796081543
29.033333333333335,252,253,0.0002969382330775261
29.033333333333335,253,253,8.097550221464189e-07
29.033333333333335,254,253,4.166394435387836e-31
29.033333333333335,256,256,9.268296881021654e-32
29.033333333333335,256,257,0.0009472934762015939
29.066666666666666,254,252,0.0001294819376198575
29.066666666666666,255,252,1.4842295570360875e-07
29.066666666666666,254,253,0.00012269514263607562
29.066666666666666,255,253,0.0001860443881014362
29.1,258,252,1.0601362669671044e-11
29.1,258,253,7.741116367078828e-32
29.1,262,257,0.0001868217223091051
29.133333333333333,258,251,0.0410517193377018
29.133333333333333,259,251,0.00038062300882302225
29.133333333333333,260,251,0.01648285612463951
29.133333333333333,258,252,7.224405101924347e-11
29.133333333333333,259,252,2.082513539392039e-08
29.133333333333333,260,252,1.46467715733678e-09
29.133333333333333,258,253,3.522781639730965e-07
29.133333333333333,259,253,3.3424223033762246e-07
29.133333333333333,260,253,1.4358097359945532e-05
29.166666666666668,259,251,2.9011761171204853e-07
29.166666666666668,260,251,1.4107833123944147e-07
29.166666666666668,261,251,0.0014196548145264387
29.166666666666668,259,252,0.033702004700899124
29.166666666666668,260,252,9.574695361035237e-32
29.166666666666668,261,252,3.044886761927046e-05
29.166666666666668,262,252,0.0
29.2,266,255,0.1617746353149414
29.233333333333334,266,251,0.3379036486148834
29.233333333333334,264,253,0.00042002327973023057
29.233333333333334,266,253,0.0004070696886628866
29.266666666666666,267,252,0.0020415529143065214
29.266666666666666,265,253,0.10284982621669769
29.266666666666666,266,253,1.3175221158948507e-38
29.266666666666666,267,253,2.0605619641123063e-11
29.266666666666666,268,253,5.061691012997471e-07
29.266666666666666,269,253,0.06754448264837265
29.266666666666666,269,257,0.07919330894947052
29.266666666666666,270,257,2.739082276548288e-07
29.266666666666666,292,485,0.001893748645670712
29.3,267,252,4.236122526839348e-32
29.3,266,253,2.6588550343109996e-34
29.3,267,253,9.358789299085402e-09
29.3,268,253,0.0001672297075856477
29.3,269,253,2.2224725532149492e-11
29.3,266,254,4.152981603056105e-07
29.3,267,254,6.137085506452422e-08
29.3,268,254,1.5097019968379755e-05
29.3,269,254,5.093931873534352e-11
29.333333333333332,271,252,0.031153293326497078
29.333333333333332,271,253,2.6340654102341432e-08
29.333333333333332,271,254,2.18361898007835e-10
29.366666666666667,272,254,4.527601049630903e-05
29.433333333333334,277,252,1.6766509247645445e-07
29.433333333333334,275,253,0.0020756118465214968
29.433333333333334,276,253,2.2980262315286382e-07
29.433333333333334,275,254,7.808992710280072e-13
29.433333333333334,279,258,0.009892520494759083
29.433333333333334,280,258,3.1305745551435393e-07
29.433333333333334,280,259,5.018367585284723e-32
29.466666666666665,278,253,0.0008868904551491141
29.466666666666665,279,253,1.2772295077545988e-31
29.466666666666665,278,254,1.2967050224688137e-06
29.466666666666665,279,254,3.7561072474545654e-08
29.5,280,252,0.004004238173365593
29.5,281,252,1.975564555323217e-05
29.5,278,253,0.0008499087416566908
29.5,279,253,0.00017339557234663516
29.5,280,253,1.986464048808756e-10
29.5,281,253,1.2293217110936894e-08
29.5,282,253,0.00010449011460877955
29.5,279,254,4.205484324530081e-31
29.5,280,254,0.03225647285580635
29.5,281,254,1.0325429400381836e-07
29.5,282,254,1.1314849002724168e-31
29.5,283,255,4.157213697908446e-05
29.5,283,256,0.0008901939727365971
29.533333333333335,281,253,6.937688340258319e-06
29.533333333333335,282,253,1.2216270661724593e-08
29.533333333333335,282,254,5.743676751990279e-07
29.533333333333335,283,254,8.584239367337432e-06
29.566666666666666,285,252,1.793191484189549e-09
29.566666666666666,284,253,5.8291938330512494e-05
29.566666666666666,285,253,0.0002088807086693123
29.6,286,252,7.166721616158611e-07
29.6,285,253,0.030214941129088402
29.6,286,253,8.325550027166173e-08
29.6,287,253,3.5527955333236605e-07
29.6,285,254,0.0006209759740158916
29.6,286,254,5.220672158467998e-11
29.6,287,254,6.333796136459569e-07
29.6,287,255,0.0006053745746612549
29.6,289,255,0.027685977518558502
29.6,290,258,0.07877371460199356
29.633333333333333,287,254,1.2260868516023038e-06
29.633333333333333,288,254,1.6645219551876594e-35
29.633333333333333,289,254,0.00021240150090306997
29.633333333333333,287,255,8.365365147255943e-07
29.633333333333333,289,255,3.981976298862471e-31
29.666666666666668,291,253,8.074338779806567e-07
29.666666666666668,290,254,0.013606206513941288
29.666666666666668,291,254,4.661356101109959e-08
29.666666666666668,292,254,3.2733391734998674e-14
29.666666666666668,293,254,0.00024499589926563203
29.666666666666668,291,255,6.268297911820924e-33
29.666666666666668,292,255,2.9739888418589544e-07
29.666666666666668,293,255,0.018348723649978638
29.7,291,253,1.8637600351922856e-09
29.7,290,254,1.0775563907827745e-07
29.7,291,254,3.7024436294608165e-10
29.7,292,254,1.4956323866499588e-05
29.7,291,255,0.004775719717144966
29.7,292,255,2.450489056116112e-08
29.7,295,259,0.05073327571153641
29.733333333333334,292,254,7.685465978901629e-12
29.733333333333334,292,255,0.002153105102479458
29.766666666666666,295,253,2.431961002002936e-05
29.766666666666666,296,253,0.4284347593784332
29.766666666666666,297,253,0.0006901828455738723
29.766666666666666,294,254,4.178924791631289e-05
29.766666666666666,295,254,7.982335903378157e-10
29.766666666666666,296,254,6.593334954613575e-14
29.766666666666666,297,254,9.888336108809929e-36
29.766666666666666,299,254,2.1094248836561746e-07
29.766666666666666,299,255,0.0027942932210862637
29.8,297,253,0.004823246039450169
29.8,298,253,0.0067259990610182285
29.8,299,253,0.017926540225744247
29.8,297,254,0.0012347250012680888
29.8,298,254,7.539361846575341e-38
29.8,299,254,5.481674065777042e-07
29.8,300,254,6.990484336383147e-37
29.8,297,255,3.1754106149468886e-31
29.8,298,255,0.006535062566399574
29.8,299,255,2.0824021618182087e-08
29.8,300,255,0.0012087012873962522
29.8,301,257,0.00018155174620915204
29.8,301,258,0.5128422379493713
29.833333333333332,300,254,2.1072797608212568e-05
29.833333333333332,300,255,5.301162673276849e-05
29.866666666666667,300,254,0.0006280496018007398
29.866666666666667,301,254,2.5210244186684997e-34
29.866666666666667,302,254,0.0008360755746252835
29.866666666666667,300,255,5.785172407882612e-31
29.866666666666667,301,255,3.0912654526245264e-33
29.866666666666667,302,255,0.00011554381489986554
29.866666666666667,305,258,0.05717291310429573
29.9,305,254,1.8895775610872079e-06
29.9,306,254,3.6570428907367614e-09
29.9,305,255,0.001390766934491694
29.9,307,255,0.003427139949053526
29.933333333333334,307,253,7.242271365948127e-11
29.933333333333334,305,254,3.7040096684259893e-11
29.933333333333334,306,254,1.801902947684801e-32
29.933333333333334,307,254,0.012201393023133278
29.933333333333334,305,255,2.853616920519456e-31
29.933333333333334,307,255,0.009319357573986053
29.966666666666665,306,254,1.1049703971366398e-05
29.966666666666665,307,254,0.0027053351514041424
29.966666666666665,308,254,2.2079364498495124e-05
29.966666666666665,309,254,1.1671297534270269e-32
29.966666666666665,309,255,4.33722086023991e-11
30.0,308,254,0.025256050750613213
30.0,309,254,0.014511105604469776
30.0,310,254,0.07355959713459015
30.0,308,255,1.4368543525312903e-32
30.0,309,255,6.050146339475759e-07
30.0,310,255,1.9092015577490808e-33
30.0,308,256,0.46011626720428467
30.0,309,256,4.520419949815946e-32
30.0,310,256,5.032939398574854e-09
30.033333333333335,312,254,0.00019567138224374503
30.033333333333335,313,254,1.6432072369454431e-09
30.033333333333335,312,255,4.2340737567021505e-38
30.033333333333335,313,255,8.370555359960008e-10
30.033333333333335,312,256,0.00044821930350735784
30.033333333333335,313,256,0.00013229336764197797
30.1,318,258,0.007986480370163918
30.1,319,258,1.8930145984086266e-07
30.1,318,259,4.8798402780177195e-32
30.1,319,259,2.1320156751158947e-09
30.1,318,260,0.018900536000728607
30.133333333333333,318,254,2.9423839805531316e-05
30.133333333333333,317,255,3.0566509394702734e-06
30.133333333333333,318,255,2.604682833862171e-07
30.133333333333333,317,256,5.465231538437365e-07
30.133333333333333,318,256,4.652098262170057e-09
30.166666666666668,318,254,1.5123389207616356e-09
30.166666666666668,319,254,0.036757487803697586
30.166666666666668,320,254,0.0009895660914480686
30.166666666666668,318,255,1.1317863481963286e-06
30.166666666666668,319,255,3.890513345511382e-12
30.166666666666668,320,255,9.084414470672542e-11
30.166666666666668,318,256,1.9951066860812716e-06
30.166666666666668,319,256,1.370374889120285e-06
30.166666666666668,320,256,0.005767265800386667
30.2,321,254,0.040253426879644394
30.2,325,259,4.465965957933804e-06
30.233333333333334,324,254,0.00010775538976304233
30.233333333333334,324,255,8.358401319165376e-13
30.233333333333334,324,256,5.6133922043954954e-05
30.233333333333334,325,256,5.614275813897443e-35
30.233333333333334,326,259,0.00030534781399182975
30.233333333333334,326,260,1.8322605654930157e-08
30.233333333333334,326,261,0.021206872537732124
30.266666666666666,325,254,3.0174981020536507e-06
30.266666666666666,326,254,5.288444127060643e-10
30.266666666666666,324,255,1.7754492320776194e-10
30.266666666666666,325,255,1.5872365111135878e-07
30.266666666666666,326,255,2.0992945833525175e-35
30.266666666666666,324,256,0.020918406546115875
30.266666666666666,325,256,2.189303714855991e-32
30.266666666666666,326,256,7.249869107828211e-12
30.333333333333332,329,254,0.024532394483685493
30.333333333333332,328,255,3.38293773438636e-07
30.333333333333332,329,255,7.379648281347073e-11
30.366666666666667,331,255,4.147038907831302e-06
30.366666666666667,332,255,1.0998378456861246e-05
30.366666666666667,330,256,4.9572008720133454e-08
30.366666666666667,331,256,5.79028864418881e-33
30.366666666666667,332,256,6.127158876511584e-33
30.366666666666667,333,257,1.1756157647369037e-07
30.366666666666667,334,257,0.0032006893306970596
30.4,332,255,0.02537786029279232
30.4,332,256,0.00016581757517997175
30.4,333,256,8.776338766836034e-09
30.4,334,256,5.086410965304822e-06
30.433333333333334,336,258,0.04806527495384216
30.433333333333334,338,258,0.0007112788734957576
30.433333333333334,338,259,1.756434130584239e-06
30.433333333333334,338,260,0.1812538504600525
30.466666666666665,336,255,0.00011904626444447786
30.466666666666665,337,255,0.004946819506585598
30.466666666666665,338,255,1.1823354739703973e-08
30.466666666666665,337,256,1.6292629412937287e-32
30.466666666666665,338,256,0.00017625201144255698
30.466666666666665,339,256,7.752777840419062e-35
30.466666666666665,338,257,1.591788181389514e-32
30.466666666666665,340,257,0.05859682708978653
30.466666666666665,340,259,0.26158997416496277
30.533333333333335,344,260,1.9825247932203638e-07
30.633333333333333,347,253,0.001027302467264235
30.633333333333333,348,257,5.515446432902138e-10
30.633333333333333,350,260,9.461151506684473e-08
30.633333333333333,350,261,0.002432943554595113
30.633333333333333,351,261,3.8422011455673527e-32
30.666666666666668,347,253,0.047105565667152405
30.666666666666668,350,255,8.464838174404576e-05
30.666666666666668,349,256,6.109548280619492e-07
30.666666666666668,350,256,2.4956653019678945e-36
30.666666666666668,348,257,0.03367020562291145
30.666666666666668,349,257,0.029916267842054367
30.666666666666668,350,257,5.040702308178879e-05
30.666666666666668,351,257,3.489165862902155e-07
30.666666666666668,352,260,0.01760421320796013
30.733333333333334,353,256,3.107277330112079e-38
30.733333333333334,353,257,0.0030780672095716
30.733333333333334,354,257,1.023321785744794e-34
30.733333333333334,355,257,0.00013717595720663667
30.733333333333334,356,257,1.5083074345056957e-07
30.733333333333334,355,258,0.008754359558224678
30.733333333333334,356,258,0.0019781794399023056
30.733333333333334,356,259,0.020731747150421143
30.766666666666666,356,257,1.0135976259706414e-11
30.766666666666666,357,257,2.4116593522194307e-07
30.766666666666666,356,258,0.09029515832662582
30.766666666666666,357,258,0.028137629851698875
30.8,358,255,5.6623921551590684e-08
30.8,357,256,4.6157350164222066e-10
30.8,358,256,2.9543483833549544e-05
30.8,356,257,2.9214023015811108e-05
30.8,357,257,0.09752867370843887
30.8,358,257,1.8576032832629073e-40
30.8,357,258,4.98988653265865e-32
30.8,358,258,2.1015388540490676e-08
30.8,358,259,0.000136565460707061
30.833333333333332,358,256,7.869686669437215e-05
30.833333333333332,358,257,0.06389600038528442
30.833333333333332,359,257,1.619767688032514e-11
30.833333333333332,360,257,7.2281409686085675e-37
30.833333333333332,358,258,0.1333707720041275
30.833333333333332,359,258,2.828374817909207e-06
30.833333333333332,360,258,1.2190012775371817e-31
30.833333333333332,361,261,0.00022432250261772424
30.833333333333332,362,261,6.606242664020101e-07
30.833333333333332,363,261,0.00010364435001974925
